Название;Описание;Цена;"Толщина, мм";"Длина, мм";"Ширина, мм";"Метод изготовления";ГОСТ;Марка
"Лист стальной горячекатаный 1х710х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х710х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х710х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2325;1;2000;710;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х750х1600 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х750х1600 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х750х1600 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2646;1;1600;750;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х750х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х750х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х750х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2646;1;2000;750;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х800х1600 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х800х1600 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х800х1600 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2973;1;1600;800;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х800х2500 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х800х2500 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х800х2500 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2973;1;2500;800;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х850х1700 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х850х1700 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х850х1700 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3284;1;1700;850;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х900х1800 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х900х1800 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х900х1800 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3601;1;1800;900;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х900х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х900х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х900х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3601;1;2000;900;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х950х1900 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х950х1900 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х950х1900 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3924;1;1900;950;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 1х1000х1800 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 1х1000х1800 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 1х1000х1800 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";4283;1;1000;1800;горячекатаный;"ГОСТ 19903-74";ст3пс
