Название;Описание;Цена;"Длина, мм";"Толщина, мм";"Ширина, мм";"Метод изготовления";ГОСТ;Марка
"Лист стальной горячекатаный 2х710х1420 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х710х1420 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х710х1420 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2380;1420;2;710;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х710х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х710х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х710х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2380;2;6000;710;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х750х1500 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х750х1500 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х750х1500 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2730;1500;2;750;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х750х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х750х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х750х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";2730;2;6000;750;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х800х1600 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х800х1600 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х800х1600 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3054;1600;2;800;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х800х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х800х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х800х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3054;2;6000;800;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х850х2000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х850х2000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х850х2000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3360;2;2000;850;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х850х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х850х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х850х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3360;2;6000;850;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х900х1800 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х900х1800 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х900х1800 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3690;1800;2;900;горячекатаный;"ГОСТ 19903-74";ст3пс
"Лист стальной горячекатаный 2х900х6000 мм ст3пс ГОСТ 19903-74 в Красноярске";"Металлоторговая компания ""Трубное решение"" зарекомендовала себя как прочный и стабильный оптовый поставщик широкого ассортимента металлопроката с металлобазой по выгодным ценам. Предлагает заказать оптом Лист стальной горячекатаный 2х900х6000 мм ст3пс ГОСТ 19903-74 в Красноярск из наличия. Вся металлопродукция проходит обязательную сертификацию. Организованная логистическая сеть позволяет доставлять оптовый заказ в короткие сроки по всей России и страны СНГ. Трубное решение отвечает за качество поставляемой металлопродукции. Ознакомьтесь с описанием и техническими характеристиками металлопродукции Лист стальной горячекатаный 2х900х6000 мм ст3пс ГОСТ 19903-74 на нашем сайте «Трубное Решение» или звоните по номеру +7 (391) 216-89-17 в Красноярск и получите консультацию. Так же вы можете заказать бесплатный обратный звонок и наши специалисты обязательно свяжутся с вами!";3691;2;6000;900;горячекатаный;"ГОСТ 19903-74";ст3пс
